Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
438.525000,431.52500,,91.5,,VK3RAD,"Melbourne - Mitcham",Victoria,Australia,FM ,
438.525000,433.52500,,91.5,91.5,VK3RRU,"Mildura - Merbein",Victoria,Australia,FM IRLP ,
438.525000,433.52500,,,,VK3RNU,"Stanley - Mt Stanley",Victoria,Australia,FM ,
438.550000,431.55000,,,,VK3RNB,"Melbourne - CBD",Victoria,Australia,DMR Fusion WIRES-X ,
438.575000,431.57500,,91.5,,VK3RHD,"Horsham - CBD",Victoria,Australia,FM AllStar ,
438.575000,431.57500,,91.5,,VK3RWD,"Warragul - Seaview",Victoria,Australia,FM ,
438.600000,431.60000,,123.0,,VK3RVZ,"Brighton",Victoria,Australia,FM ,
438.600000,431.60000,,123.0,123.0,VK3RWO,"Wodonga - Bald Hill",Victoria,Australia,FM WIRES-X ,
438.650000,431.65000,,91.5,,VK3RGV,"Euroa - Mt Wombat",Victoria,Australia,FM ,
438.675000,433.67500,,91.5,,VK3RWU,"Ararat - Mt William",Victoria,Australia,FM ,
438.712500,431.71250,,,,VK3RMC,"Dandenong Sth - Narre Warren",Victoria,Australia,DMR ,1
438.725000,431.72500,,91.5,,VK3RKK,"Ballarat - Miners Rest",Victoria,Australia,FM AllStar EchoLink ,
438.750000,431.75000,,88.5,,VK3RHF,"Melbourne East - Olinda",Victoria,Australia,FM ,
438.750000,431.75000,,88.5,,VK3RHF,"Melbourne East",Victoria,Australia,FM ,
438.750000,431.75000,,,,VK3RPL,"Portland - Point Danger",Victoria,Australia,P-25 ,
438.762500,431.76250,,,,VK3RDS,"Shepparton - CBD",Victoria,Australia,DMR ,1
438.775000,431.77500,,,,VK3RAJ,"Ferntree Gully - Upwey",Victoria,Australia,DMR P-25 ,1293
438.787500,431.78750,,,,VK3RAA,"Korumburra Victoria",Victoria,Australia,DMR ,1
438.800000,431.80000,,,,VK3RSA,"Emerald - Water Tower",Victoria,Australia,DMR ,1
